Name;Type;StartDistAlong;HorizontalLength;StartHeight;StartGradient;EndGradient;Radius;Type
V1;IfcAlignmentVerticalSegment;0,000407981905027;246,427389205351;108,082846;0,0125000136086177;0,0125000136086177;0;CONSTANTGRADIENT
V2;IfcAlignmentVerticalSegment;246,427797187256;95,012777987186;111,163191718619;0,0125000136086177;0,00299777282851563;-10000;CIRCULARARC
V3;IfcAlignmentVerticalSegment;341,440575174442;85,1579308294405;111,899418971672;0,00299777282851563;0,00299777282851563;0;CONSTANTGRADIENT
V4;IfcAlignmentVerticalSegment;426,598506003882;183,660028292254;112,154703102879;0,00299777282851563;0,0132022446841563;18000;CIRCULARARC
V5;IfcAlignmentVerticalSegment;610,258534296136;701,606233853835;113,642312216125;0,0132022446841563;0,0132022446841563;0;CONSTANTGRADIENT
V6;IfcAlignmentVerticalSegment;1311,86476814997;34,0719286716492;122,905089389918;0,0132022446841563;0,0114982578467729;-20000;CIRCULARARC
V7;IfcAlignmentVerticalSegment;1345,93669682162;236,655804993745;123,325885964704;0,0114982578467729;0,0114982578467729;0;CONSTANTGRADIENT
V8;IfcAlignmentVerticalSegment;1582,59250181536;353,605989589576;126,047015429476;0,0114982578467729;-0,0157048993077932;-13000;CIRCULARARC
V9;IfcAlignmentVerticalSegment;1936,19849140494;119,96396366131;125,30340619043;-0,0157048993077932;-0,0157048993077932;0;CONSTANTGRADIENT
V10;IfcAlignmentVerticalSegment;2056,16245506625;282,653332334597;123,419384219982;-0,0157048993077932;-4,51E-15;18000;CIRCULARARC
V11;IfcAlignmentVerticalSegment;2338,81578740085;312,859620580933;121,199999999253;2,38704E-12;2,38704E-12;0;CONSTANTGRADIENT
